Articles reviewed for each chapter are included here. ,,,
"Please note the following: 1) The total number of articles reviewed for the book exceeds those below; these are articles that were relevant for specific chapter queries. 2) Article links and titles often change after initial publication, especially for ""live articles"" or ""updates"". As such, you may find that searching for the article title along with the date and outlet will yield the best results. 3) Titles have been shifted to lower case and ""."" (periods) have been removed. 4) Some articles were reviewed or used in multiple chapters.  ",,,
,,,
"Full, partial, or modified article title when it was accessed",Date originally published or modified,Online news outlet,Chapter where article was reviewed or referenced
‘angry and afraid’: tensions high in new york over israel-hamas war,10/22/2023,New York Times,1
‘beyond crazy’: the liberal jew mugged by a post-oct 7 world,1/4/2024,Politico,1
‘comma-la’ and gaza: 5 standout moments from day 4 of the dnc,8/23/2024,Washington Post,1
‘history will judge them’ adl leader slams ceos who are silent on antisemitism,10/11/2023,CNN,1
‘i’m not waiting around for them to do something’,11/20/2023,Politico,1
‘israel is going to have to make some tough calls’,10/11/2023,Politico,1
"‘netanyahu got all the warnings,’ says former head of israeli military intelligence",10/24/2023,Politico,1
‘screams without words’: how hamas weaponized sexual violence on oct 7,12/28/2023,New York Times,1
‘sh-t thing to say’: tempers flare among house dems over the israel war,10/11/2023,Politico,1
‘squad’ members face democratic primary challenges over israel stances,11/1/2023,Washington Post,1
"""act of sheer evil"": biden's forceful condemnation of hamas hailed by israel",10/11/2023,Axios,1
"3 hostages likely killed by israeli strike last fall, idf says",9/15/2024,New York Times,1
"34 pro-palestinian protesters arrested for disrupting macy’s parade, police say",11/24/2023,Washington Post,1
8 cruises offer respite from the winter blahs,12/13/2023,New York Times,1
a 1903 pogrom sparked calls for a jewish state — to prevent attacks like this one,10/14/2023,Washington Post,1
a biden alum sounds off,11/6/2023,Politico,1
a day of chaos in israel as far-right protesters storm military bases,7/30/2024,Axios,1
"a diary of gaza, day by awful day",10/31/2023,Washington Post,1
a flood of misinformation shapes views of israel-gaza conflict,10/14/2023,Washington Post,1
a historic gamble: mike johnson’s unpaved path to house speaker,10/25/2023,Washington Post,1
a kidnapped israeli activist and two sons grappling with a war in her name,11/7/2023,Washington Post,1
"a lack of fuel has hospitals in gaza, including the region’s largest facility, in crisis",10/24/2023,New York Times,1
"a palestinian activist, ahed tamimi, faces indefinite detention",11/27/2023,New York Times,1
a palestinian family hopes that the hostage deal means their own loved ones will come home,11/22/2023,New York Times,1
a palestinian restaurant perseveres in war’s shadow,10/15/2023,New York Times,1
a pause by any other name,11/7/2023,Politico,1
a plan to defeat hamas and avoid a bloodbath,10/27/2023,New York Times,1
a thai child in a halloween costume is being misrepresented to label palestinians as ‘crisis actors’,11/3/2023,AP News,1
a top hamas commander described as its head of military intelligence is killed in an israeli strike,10/17/2023,New York Times,1
accounts of sexual violence by hamas are aired amid criticism of un,12/4/2023,New York Times,1
"across mideast, protests erupt over ‘horrific scenes’ in gaza",10/18/2023,New York Times,1
advertisers flee x as outcry over musk’s endorsement of antisemitic post grows,11/17/2023,New York Times,1
"after antisemitic attacks, colleges debate what kind of speech is out of bounds",11/9/2023,New York Times,1
ai is ripping off authors’ hard work,10/19/2023,Washington Post,1
"aid is trickling in, but gaza still grows hungrier",11/30/2023,Washington Post,1
"alberto fujimori, ex-leader of peru imprisoned for rights abuses, dies at 86",9/11/2024,New York Times,1
"amid reports of israeli children killed, one claim stood out",10/14/2023,New York Times,1
"an american mom, from a kibbutz, was one of many who was attacked",10/11/2023,USATODAY,1
an israeli rights group says that palestinian detainees have been systematically abused since oct 7,8/6/2024,New York Times,1
"anniversary of oct 7 will see rise in antisemitic activity, adl director warns",10/6/2024,Politico,1
anthony hecht strived to be on poetry’s a-list he should be there,11/7/2023,Washington Post,1
"anti-israel progressives are handing liberal jews an impossible decision, just like in 1967",10/23/2023,Politico,1
"as crisis unfolds in gaza, europe talks about tightening borders",11/2/2023,Washington Post,1
"as fury erupts over campus antisemitism, conservatives seize the moment",12/10/2023,New York Times,1
"as gaza war enters new phase, israel faces pressure over civilian deaths",11/3/2023,New York Times,1
"as israel prepares for war in gaza, debate is over how and how long",10/12/2023,New York Times,1
"as israel ramps up war with hamas, backers cheer destruction of gaza",10/13/2023,Washington Post,1
"as israel strikes lebanon, a new war flares within",7/31/2024,Washington Post,1
"as strikes devastate gaza, israel forms unity government to oversee war sparked by hamas attack",10/11/2023,AP News,1
"at gate to gaza, deported workers mark end of rare exchange with israel",11/4/2023,Washington Post,1
"at march for israel in dc, demonstrators demand hamas release hostages",11/14/2023,Washington Post,1
austin in israel says us ready to provide more military aid,10/13/2023,Axios,1
award ceremony for palestinian author at frankfurt book is canceled,10/13/2023,New York Times,1
axios explains: behind israel's high-risk push to eliminate hamas,10/17/2023,Axios,1
barcelona protest video unrelated to israel-hamas war | fact check,10/26/2023,USATODAY,1
bariatric surgery at 16,10/31/2023,New York Times,1
biden administration ratchets up tariffs on chinese goods,9/13/2024,New York Times,1
biden calls hamas attack “evil”,10/10/2023,New York Times,1
biden calls world to ‘forcefully condemn’ sexual violence by hamas,12/5/2023,Politico,1
biden condemns sexual violence in the oct 7 hamas attacks,12/5/2023,New York Times,1
biden confirms americans held hostage by hamas,10/10/2023,Politico,1
biden confirms us citizens are among hamas hostages in sharp condemnation of attacks on israel,10/10/2023,CNN,1
"biden decries ‘evil’ hamas attack, says americans being held hostage",10/10/2023,Washington Post,1
"biden denounces ""appalling"" reports of hamas raping israeli hostages",12/6/2023,Axios,1
biden rises to the occasion on israel and hamas trump sinks to a new low,10/12/2023,Washington Post,1
biden shows deep empathy with israelis some feel it’s missing for gazans,12/12/2023,Washington Post,1
biden shows solidarity with israel in a bold wartime visit,10/18/2023,New York Times,1
biden’s gaza cease-fire plan teeters on brink ahead of high-stakes talks,8/14/2024,Washington Post,1
biden’s moment: a president convinced of america’s role in the world,10/19/2023,New York Times,1
biden’s strategy faces a test as israeli forces push into southern gaza,12/5/2023,New York Times,1
binance crypto chief changpeng zhao pleads guilty to federal charges,11/21/2023,Washington Post,1
binance founder pleads guilty to violating money laundering rules,11/21/2023,New York Times,1
blinken envisions ‘revitalized’ palestinian authority in charge of post-war gaza,11/1/2023,Washington Post,1
"blinken faces protesters, divided congress as israel diplomacy comes home",10/31/2023,Axios,1
blinken pledges us will never falter from supporting israel as he likens hamas’ crimes to isis,10/12/2023,CNN,1
blinken stresses support for israel while urging restraint on gaza airstrikes,10/12/2023,New York Times,1
"blinken tells netanyahu in israel: us ""will always be by your side""",10/12/2023,Axios,1
blinken to travel to israel in show of us support following hamas attack,10/10/2023,Axios,1
california lawmakers ‘pull the fire alarm’ on antisemitism,1/5/2024,Politico,1
calls rising globally for pause in israel-gaza violence to let aid arrive,10/25/2023,Washington Post,1
"citing gaza help, blinken waives human rights conditions on aid to egypt",9/11/2024,New York Times,1
city council friction over israel,10/11/2023,Politico,1
congress scrambles to make sense of hamas leader’s death,7/31/2024,Politico,1
"cornell university antisemitic threats: student arrested, faces charge",11/1/2023,USATODAY,1
cornell university the latest college campus dealing with antisemitism,10/30/2023,USATODAY,1
"dc-area schools report more bias incidents against jews, palestinians",11/1/2023,Washington Post,1
deluge of israeli airstrikes destroy apartments in gaza refugee camp,10/31/2023,AP News,1
democratic divisions over israel resurface after ‘cease-fire’ comments,10/11/2023,Washington Post,1
dozens of hostages remain in gaza: what we know,9/3/2024,New York Times,1
economic reality collides with industrial policy,12/20/2023,Politico,1
el discurso de odio antisemita y antimusulmán prolifera en internet,11/20/2023,New York Times,1
el futuro de israel se debate entre el conflicto contra hamás y la guerra cultural,1/4/2024,New York Times,1
elon musk boosts pizzagate conspiracy theory that led to dc gunfire,11/28/2023,Washington Post,1
embrace the andy beshear moment it won’t last,11/9/2023,Politico,1
emhoff: there is an ‘antisemitism crisis’ on our nation’s campuses,11/4/2023,Politico,1
eric adams’ shady inner circle comes back to bite him,9/14/2024,Politico,1
"eugene gold, brooklyn da who led the ‘son of sam’ case, dies at 100",10/2/2024,New York Times,1
everyone is in a state of grief',10/13/2023,Politico,1
ex-cornell student sentenced to 21 months for making antisemitic threats,8/12/2024,New York Times,1
exclusive: university presidents unite in support of israel,10/17/2023,Axios,1
explosive claims about the israel-hamas war are going viral but the truth is not always so simple,10/13/2023,CNN,1
"facing risky options for gaza hostages, us turns to longtime mediator",10/17/2023,New York Times,1
facing tough questions on immigration,10/13/2023,New York Times,1
"fact or fiction? in this war, it is hard to tell",10/13/2023,New York Times,1
"fact-checking 55 suspect claims, mostly trump’s, in debate with harris",9/11/2024,Washington Post,1
false claim israeli media probe found no babies beheaded | fact check,10/31/2023,USATODAY,1
false claims around israel attacks include recycled videos and a game clip,10/11/2023,New York Times,1
families of american hostages in gaza meet with biden at the white house,12/13/2023,New York Times,1
far right in uproar after israel detains reservists over gaza detainee abuse,7/29/2024,Washington Post,1
fbi director: us must be vigilant on threats amid israel-gaza war,10/31/2023,Washington Post,1
fbi says israel-hamas war raises potential for attack against americans,10/31/2023,New York Times,1
"feeling alone and estranged, many jews at harvard wonder what’s next",12/16/2023,New York Times,1
fighting disrupts an evacuation effort at al-quds hospital,11/13/2023,New York Times,1
fighting intensifies in gaza's south,12/5/2023,Politico,1
finding a moral center in this era of war,11/26/2023,New York Times,1
"flying is a nightmare, especially if you have a 19th-century violin",9/8/2024,Washington Post,1
"for a grandmother in gaza, history is scarier than airstrikes",10/25/2023,New York Times,1
france cynically targets muslim women — again,10/9/2023,Washington Post,1
france raises terrorist threat level after teacher is killed in stabbing,10/13/2023,New York Times,1
friday briefing,12/29/2023,New York Times,1
friday briefing: a campaign of sexual violence,12/29/2023,New York Times,1
friday briefing: a pattern of rape and torture on oct 7,12/28/2023,New York Times,1
friday briefing: us may let ukraine use long-range weapons,9/12/2024,New York Times,1
gaza conflict upends california democratic party convention,11/18/2023,Politico,1
gaza crisis grows under intense bombardment as israel retaliates against hamas atrocities,10/12/2023,CNN,1
"gaza hostage talks hit roadblock, raising fears of prolonged captivity",12/7/2023,Politico,1
george norcross threatens to sue nfl after eagles ejected him over american-israeli flag,11/6/2023,Politico,1
hamas and the memory of the holocaust,12/1/2023,New York Times,1
hamas attack thrusts kibbutzniks into strange and terrible twilight,11/18/2023,Washington Post,1
hamas bears the blame for every death in this war,10/15/2023,New York Times,1
"hamas could inspire attacks on jewish and muslim people, fbi director says",10/31/2023,Axios,1
"hamas envisioned deeper attacks, aiming to provoke an israeli war",11/12/2023,Washington Post,1
"hamas hostage videos are cruel, manipulative, revealing experts expect more",10/31/2023,Washington Post,1
hamas is not isis — and the comparison itself is counterproductive,11/21/2023,Politico,1
"hamas launched ‘systematic’ attack on civilians on oct 7, report finds",7/17/2024,Washington Post,1
"hamas may not want to release women to keep them from talking, us official says",12/4/2023,Axios,1
hamas online terror campaign played key role in deadly israel attack,10/12/2023,USATODAY,1
hamas releases hostage video of two slain israeli captives,9/4/2024,New York Times,1
"hamas releases two women, but keeps their husbands in custody",10/23/2023,New York Times,1
hamás se propuso crear un estado de guerra ‘permanente’ así se fraguó la maniobra,11/9/2023,New York Times,1
hamas seeds violent videos on sites with little moderation,10/10/2023,New York Times,1
hamas vows to broadcast hostage executions tech firms can’t stop them,10/12/2023,Washington Post,1
hamas weap onized sexual violence on oct 7,12/28/2023,New York Times,1
harris and trump bet on their own sharply contrasting views of america,9/12/2024,New York Times,1
harris gets new york dems back on track,8/6/2024,Politico,1
harvard and the new campus politics,1/3/2024,New York Times,1
have a chat with oprah! but keep a foot in the real world,10/17/2023,Washington Post,1
here are the panels missing at aspen,7/16/2024,Politico,1
here is the latest on the fighting,10/11/2023,New York Times,1
here is the latest on the war,10/31/2023,New York Times,1
hezbollah is far more powerful than hamas will it join the fight against israel?,10/13/2023,CNN,1
historic fine on binance over alleged hamas financing signals new era in crypto crackdown,11/21/2023,Politico,1
"hostages freed from gaza recount violence, hunger and fear",11/30/2023,New York Times,1
house members emotional after seeing footage of oct 7 attack on israel,11/14/2023,Washington Post,1
house plan to vote on extension of disputed surveillance law collapses,12/11/2023,New York Times,1
how elizabeth warren is making hamas crypto’s latest washington woe,10/13/2023,Politico,1
how hamas uses brutality to maintain power,9/13/2024,New York Times,1
how hamas weaponized sexual violence,12/28/2023,New York Times,1
how hamas weaponized sexual violence on oct 7,12/29/2023,New York Times,1
how hamas’s carefully planned israel attack devolved into a chaotic rampage,10/16/2023,Washington Post,1
how israel built its case to raid gaza’s al-shifa hospital,11/15/2023,Washington Post,1
how israel keeps hundreds of palestinians in detention without charge,11/28/2023,Washington Post,1
how the israel-hamas war tore apart public defenders in the bronx,12/14/2023,New York Times,1
humanitarian crisis in gaza worsens as israel prepares a possible invasion,10/12/2023,New York Times,1
humble roots helped make him mayor a love of luxury may bring him down,9/28/2024,New York Times,1
hundreds block san francisco roads to protest apec,11/16/2023,Axios,1
hundreds evacuate gaza strip as more pressure placed on israel to pause fighting,11/2/2023,AP News,1
hundreds of pagers explode in lebanon,9/17/2024,New York Times,1
"i might have once favored a cease-fire with hamas, but not now",10/27/2023,New York Times,1
images of stripped and humiliated palestinians draw condemnation,12/14/2023,Washington Post,1
"in fight against hamas, israel needs to be certain of its ‘big ideas’",10/24/2023,Washington Post,1
"in israel, macron proposes using anti-isis coalition against hamas",10/24/2023,Washington Post,1
"in israeli-palestinian battle to sway congress, only one side wins",11/6/2023,Washington Post,1
"in michigan, a new push for greater home-schooling rules, oversight",12/7/2023,Washington Post,1
"in tel aviv, biden’s embrace of israel came with a gentle warning",10/18/2023,New York Times,1
"in unforgiving terms, biden condemns ‘evil’ and ‘abhorrent’ attack on israel",10/10/2023,New York Times,1
inside biden's gaza strategy,10/21/2023,Axios,1
invading gaza now is a mistake,10/17/2023,New York Times,1
iran turns to hells angels and other criminal gangs to target critics,9/12/2024,Washington Post,1
is israel’s military strategy to eradicate hamas working?,11/18/2023,New York Times,1
is jersey freedom's freedom at risk?,1/4/2024,Politico,1
israel accuses hamas of firing rockets from ‘humanitarian zones’,12/7/2023,New York Times,1
israel agrees to open second crossing to inspect aid trucks,12/7/2023,Politico,1
israel forms emergency government and steps up gaza offensive as brutality of hamas attacks laid bare,10/11/2023,CNN,1
israel forms unity government and bombs gaza in the wake of hamas attack,10/11/2023,New York Times,1
